Id,breed,recipe_name,cooking_method,ingredients[0].name,ingredients[1].name,ingredients[2].name,ingredients[3].name,ingredients[4].name,ingredients[5].name
1,Vikhan Sheepdog,Banana Chunks with Ghee,Steamed,Banana,Ghee,Rice,Okra,Eggs,
2,Indian Spitz,Banana Pulao with Goat,Boiled,Banana,Goat,Spinach,Oats,Ghee,
3,Vikhan Sheepdog,Banana Pulao with Fenugreek Seeds,Boiled,Banana,Fenugreek Seeds,Lentils,Bottle Gourd,Wheat,
4,Bully Kutta,Peas Khichdi with Wheat,Slow-cooked,Peas,Wheat,Lamb,,,
5,Kombai,Okra Chunks with Cucumber,Raw,Okra,Cucumber,Rice,Chicken,,
6,Vikhan Sheepdog,Fenugreek Seeds Curry with Soya Chunks,Boiled,Fenugreek Seeds,Soya Chunks,Apple,Spinach,Bajra,Peas
7,Indian Spitz,Banana Mash with Soya Chunks,Stir-fried,Banana,Soya Chunks,Jowar,Green Beans,,
8,Pandikona,Pomegranate Pulao with Ghee,Steamed,Pomegranate,Ghee,Bottle Gourd,Paneer,Sweet Potato,
9,Bully Kutta,Pomegranate Paratha with Ghee,Stir-fried,Pomegranate,Ghee,Bottle Gourd,Oats,Okra,Soya Chunks
10,Kaikadi,Ridge Gourd Mash with Lamb,Pressure-cooked,Ridge Gourd,Lamb,Bajra,Pomegranate,,
11,Kaikadi,Okra Pulao with Bottle Gourd,Stir-fried,Okra,Bottle Gourd,Ghee,Papaya,Oats,Goat
12,Gaddi Kutta,Lamb Stew with Sweet Potato,Slow-cooked,Lamb,Sweet Potato,Peas,Mango,,
13,Rajapalayam,Ridge Gourd Chunks with Sweet Potato,Baked,Ridge Gourd,Sweet Potato,Lentils,Cucumber,,
14,Tangkhul Hui,Apple Chunks with Fenugreek Seeds,Raw,Apple,Fenugreek Seeds,Carrots,Eggs,Ridge Gourd,Jowar
15,Mudhol Hound,Bottle Gourd Stew with Bajra,Baked,Bottle Gourd,Bajra,Paneer,,,
16,Pandikona,Spinach Pulao with Ridge Gourd,Steamed,Spinach,Ridge Gourd,Oats,Turmeric,Goat,Watermelon
17,Gaddi Kutta,Rice Stew with Spinach,Boiled,Rice,Spinach,Turmeric,Cucumber,Goat,Bottle Gourd
18,Bangkaew,Ridge Gourd Curry with Jowar,Stir-fried,Ridge Gourd,Jowar,Papaya,Paneer,Coconut Oil,Peas
19,Pandikona,Ghee Khichdi with Papaya,Slow-cooked,Ghee,Papaya,Bajra,Eggs,Peas,
20,Tibetan Mastiff,Carrots Pulao with Pumpkin,Slow-cooked,Carrots,Pumpkin,Lentils,,,
21,Kombai,Eggs Paratha with Curd,Baked,Eggs,Curd,Bitter Gourd,Jowar,Watermelon,Bottle Gourd
22,Indian Spitz,Wheat Curry with Curd,Slow-cooked,Wheat,Curd,Peas,Paneer,Mango,Peas
23,Himalayan Cat,Pumpkin Paratha with Apple,Boiled,Pumpkin,Apple,Soya Chunks,Flaxseed,Okra,
24,Chippiparai,Okra Mash with Flaxseed,Stir-fried,Okra,Flaxseed,Banana,Sweet Potato,Lamb,
25,Mudhol Hound,Oats Paratha with Watermelon,Slow-cooked,Oats,Watermelon,Bitter Gourd,Chicken,,
26,Kaikadi,Banana Paratha with Rice,Stir-fried,Banana,Rice,Ghee,Bitter Gourd,Paneer,
27,Chippiparai,Carrots Paratha with Chicken,Baked,Carrots,Chicken,Pumpkin,,,
28,Vikhan Sheepdog,Okra Khichdi with Lentils,Raw,Okra,Lentils,Curd,Bitter Gourd,Watermelon,Rice
29,Rajapalayam,Bajra Stew with Pomegranate,Boiled,Bajra,Pomegranate,Green Beans,Flaxseed,Chicken,
30,Mudhol Hound,Spinach Stew with Lentils,Boiled,Spinach,Lentils,Jowar,Cucumber,Green Beans,Coconut Oil
31,Indian Spitz,Eggs Chunks with Bitter Gourd,Baked,Eggs,Bitter Gourd,Pumpkin,,,
32,Tangkhul Hui,Soya Chunks Pulao with Green Beans,Pressure-cooked,Soya Chunks,Green Beans,Oats,,,
33,Vikhan Sheepdog,Bottle Gourd Paratha with Apple,Raw,Bottle Gourd,Apple,Wheat,Curd,Carrots,Eggs
34,Bakharwal Dog,Oats Mash with Lamb,Stir-fried,Oats,Lamb,Okra,Watermelon,,
35,Jonangi,Bitter Gourd Pulao with Goat,Boiled,Bitter Gourd,Goat,Bajra,Apple,,
36,Bangkaew,Fenugreek Seeds Chunks with Bajra,Baked,Fenugreek Seeds,Bajra,Lamb,Cucumber,Spinach,
37,Indian Pariah Dog,Bajra Stew with Ridge Gourd,Raw,Bajra,Ridge Gourd,Paneer,Curd,Pomegranate,
38,Indian Bicolor Cat,Bitter Gourd Stew with Pumpkin,Stir-fried,Bitter Gourd,Pumpkin,Fish,,,
39,Kaikadi,Sweet Potato Mash with Watermelon,Raw,Sweet Potato,Watermelon,Bitter Gourd,Fish,Ghee,
40,Indian Bicolor Cat,Lentils Stew with Carrots,Boiled,Lentils,Carrots,Turmeric,Watermelon,Pumpkin,
41,Chippiparai,Okra Pulao with Goat,Baked,Okra,Goat,Rice,,,
42,Tibetan Mastiff,Eggs Paratha with Turmeric,Steamed,Eggs,Turmeric,Spinach,Spinach,Pumpkin,Banana
43,Chippiparai,Green Beans Curry with Soya Chunks,Steamed,Green Beans,Soya Chunks,Oats,,,
44,Vikhan Sheepdog,Curd Khichdi with Lamb,Stir-fried,Curd,Lamb,Sweet Potato,Ridge Gourd,Carrots,Watermelon
45,Pandikona,Wheat Chunks with Soya Chunks,Boiled,Wheat,Soya Chunks,Spinach,Fenugreek Seeds,Mango,
46,Bully Kutta,Coconut Oil Mash with Eggs,Steamed,Coconut Oil,Eggs,Pomegranate,Okra,Bajra,
47,Tangkhul Hui,Apple Chunks with Peas,Baked,Apple,Peas,Paneer,Pumpkin,,
48,Kanni,Rice Curry with Ridge Gourd,Stir-fried,Rice,Ridge Gourd,Goat,,,
49,Gaddi Kutta,Bitter Gourd Pulao with Mango,Pressure-cooked,Bitter Gourd,Mango,Lentils,Sweet Potato,,
50,Bakharwal Dog,Rice Pulao with Lamb,Pressure-cooked,Rice,Lamb,Ridge Gourd,Banana,,
51,Rajapalayam,Peas Chunks with Rice,Baked,Peas,Rice,Curd,Goat,Watermelon,
52,Rajapalayam,Banana Stew with Curd,Stir-fried,Banana,Curd,Oats,Lentils,Peas,Ridge Gourd
53,Tangkhul Hui,Eggs Curry with Green Beans,Pressure-cooked,Eggs,Green Beans,Banana,Peas,Flaxseed,Bajra
54,Bangkaew,Peas Pulao with Peas,Baked,Peas,Peas,Oats,Curd,Fish,Watermelon
55,Chippiparai,Wheat Curry with Goat,Steamed,Wheat,Goat,Peas,Papaya,,
56,Jonangi,Sweet Potato Paratha with Carrots,Boiled,Sweet Potato,Carrots,Eggs,,,
57,Himalayan Cat,Jowar Chunks with Peas,Boiled,Jowar,Peas,Eggs,,,
58,Tibetan Mastiff,Bottle Gourd Chunks with Eggs,Raw,Bottle Gourd,Eggs,Wheat,Banana,,
59,Jonangi,Carrots Stew with Spinach,Baked,Carrots,Spinach,Rice,Lamb,Ghee,Papaya
60,Jonangi,Apple Stew with Rice,Raw,Apple,Rice,Eggs,Green Beans,Okra,Coconut Oil
61,Kaikadi,Pumpkin Stew with Spinach,Steamed,Pumpkin,Spinach,Chicken,,,
62,Bakharwal Dog,Sweet Potato Curry with Curd,Raw,Sweet Potato,Curd,Cucumber,Carrots,Eggs,
63,Indian Spitz,Lentils Curry with Jowar,Stir-fried,Lentils,Jowar,Ridge Gourd,Apple,,
64,Tibetan Mastiff,Fish Khichdi with Carrots,Boiled,Fish,Carrots,Sweet Potato,Cucumber,,
65,Bangkaew,Green Beans Pulao with Watermelon,Baked,Green Beans,Watermelon,Ragi,Goat,,
66,Indian Pariah Dog,Apple Pulao with Eggs,Stir-fried,Apple,Eggs,Jowar,Spinach,,
67,Tibetan Mastiff,Soya Chunks Pulao with Watermelon,Raw,Soya Chunks,Watermelon,Pumpkin,Bottle Gourd,Coconut Oil,
68,Mudhol Hound,Spinach Khichdi with Ragi,Stir-fried,Spinach,Ragi,Soya Chunks,,,
69,Rajapalayam,Eggs Khichdi with Bitter Gourd,Slow-cooked,Eggs,Bitter Gourd,Bajra,,,
70,Gaddi Kutta,Bottle Gourd Mash with Soya Chunks,Steamed,Bottle Gourd,Soya Chunks,Pumpkin,,,
71,Rampur Greyhound,Paneer Paratha with Papaya,Pressure-cooked,Paneer,Papaya,Bitter Gourd,Flaxseed,Oats,Bottle Gourd
72,Jonangi,Spinach Pulao with Apple,Slow-cooked,Spinach,Apple,Pumpkin,Paneer,Curd,Bottle Gourd
73,Pandikona,Pumpkin Chunks with Chicken,Slow-cooked,Pumpkin,Chicken,Watermelon,Spinach,,
74,Indian Pariah Dog,Watermelon Curry with Carrots,Slow-cooked,Watermelon,Carrots,Pumpkin,Curd,Chicken,
75,Mudhol Hound,Oats Khichdi with Paneer,Steamed,Oats,Paneer,Okra,,,
76,Tibetan Mastiff,Pomegranate Pulao with Chicken,Steamed,Pomegranate,Chicken,Oats,Ridge Gourd,,
77,Jonangi,Soya Chunks Khichdi with Ridge Gourd,Baked,Soya Chunks,Ridge Gourd,Oats,,,
78,Chippiparai,Ridge Gourd Mash with Coconut Oil,Slow-cooked,Ridge Gourd,Coconut Oil,Green Beans,Goat,Apple,Jowar
79,Vikhan Sheepdog,Carrots Curry with Wheat,Stir-fried,Carrots,Wheat,Eggs,,,
80,Vikhan Sheepdog,Wheat Paratha with Banana,Stir-fried,Wheat,Banana,Green Beans,Soya Chunks,,
81,Indian Spitz,Peas Khichdi with Mango,Raw,Peas,Mango,Paneer,Ragi,,
82,Tibetan Mastiff,Apple Stew with Ridge Gourd,Raw,Apple,Ridge Gourd,Carrots,Ghee,Rice,Goat
83,Himalayan Cat,Green Beans Stew with Pumpkin,Boiled,Green Beans,Pumpkin,Watermelon,Lamb,Curd,Carrots
84,Mudhol Hound,Pomegranate Pulao with Green Beans,Pressure-cooked,Pomegranate,Green Beans,Coconut Oil,Rice,Eggs,
85,Gaddi Kutta,Oats Paratha with Spinach,Steamed,Oats,Spinach,Fish,,,
86,Pandikona,Peas Paratha with Fish,Slow-cooked,Peas,Fish,Jowar,,,
87,Kaikadi,Soya Chunks Stew with Papaya,Slow-cooked,Soya Chunks,Papaya,Spinach,Ragi,,
